Tempos coletos no notebook 17/04/2019 (até 900000)

10      0,000   0,000
20      0,000   0,000
30      0,000   0,000
40      0,000   0,000
50      0,000   0,000
60      0,000   0,000
70      0,000   0,000
80      0,000   0,000
90      0,000   0,000
100     0,000   0,000
200     0,000   0,000
300     0,000   0,000
400     0,000   0,000
500     0,000   0,000
600     0,000   0,000
700     0,000   0,000
800     0,000   0,000
900     0,000   0,000
1000    0,000   0,000
2000    0,015   0,000
3000    0,032   0,000
4000    0,046   0,000
5000    0,063   0,000
6000    0,078   0,000
7000    0,109   0,000
8000    0,141   0,000
9000    0,172   0,000
10000   0,219   0,000
20000   0,843   0,016
30000   1,890   0,016
40000   3,390   0,000
50000   5,986   0,015
60000   7,835   0,015
70000   10,599  0,031
80000   13,775  0,031
90000   17,448  0,032
100000  21,534  0,032
200000  84,908  0,078
300000  194,563 0,094
400000  342,714 0,125
500000  557,396 0,172
600000  759,891 0,203
700000  1052,496        0,250
800000  1356,435        0,266
900000  1715,347        0,312
